33531	苻	fu4	f	oo	陽平	扶烏
20195	代	doi6	t	oy	陽去	大代
23729	岱	doi6	t	oy	陽去	大代
29619	玳	doi6	t	oy	陽去	大代
34955	袋	doi6	t	oy	陽去	大代
40667	黛	doi6	t	oy	陽去	大代
36024	貸	taai3	t’	ea	陰去	太界
20196	令	ling6	l	ing	陽去	耒正
20196	令	ling4	l	ing	陽平	耒丁
22265	囹	ling4	l	ing	陽平	耒丁
20278	伶	ling4	l	ing	陽平	耒丁
38646	零	ling4	l	ing	陽平	耒丁
37428	鈴	ling4	l	ing	陽平	耒丁
32838	聆	ling4	l	ing	陽平	耒丁
40801	齡	ling4	l	ing	陽平	耒丁
33491	苓	ling4	l	ing	陽平	耒丁
34505	蛉	ling4	l	ing	陽平	耒丁
32718	翎	ling4	l	ing	陽平	耒丁
32666	羚	ling4	l	ing	陽平	耒丁
36584	軨	ling4	l	ing	陽平	耒丁
38936	領	ling5	l	ing	陽上	耒丙
23994	嶺	ling5	l	ing	陽上	耒丙
20919	冷	lang5	l	a’ng	陽上	耒等
21629	命	ming6	m	ing	陽去	明正
20197	以	i5	X	e	陽上	喻始
33505	苡	i5	X	e	陽上	喻始
20284	似	cz5	ts’	ze	陽上	前子
22994	姒	cz5	ts’	ze	陽上	前子
20214	件	gin6	k	een	陽去	共見
20219	任	jam6	y	um	陽去	由浸
20219	任	jam4	y	um	陽平	由金
36035	賃	jam6	y	um	陽去	由浸
33615	荏	jam5	y	um	陽上	由審
24641	恁	jam5	y	um	陽上	由審
20973	凭	baang6	p	ang	陽去	並硬
20234	伊	ji1	y	e	陰平	英希
20239	伏	fuk6	f	uk	陽入	扶卜
33583	茯	fuk6	f	uk	陽入	扶卜
20240	伐	faat6	f	at	陽入	扶八
26672	栰	faat6	f	at	陽入	扶八
20241	休	jau1	y	ow	陰平	英由
24229	庥	jau1	y	ow	陰平	英由
35973	貅	jau1	y	ow	陰平	英由
20301	位	wai6	X	wy	陽去	喻位
28054	涖	lei6	l	ěy	陽去	耒利
33950	蒞	lei6	l	ěy	陽去	耒利
20313	余	jyu4	X	ü	陽平	喻於
39192	餘	jyu4	X	ü	陽平	喻於
36884	途	tou4	t’	ou	陽平	同刀
22615	塗	tou4	t’	ou	陽平	同刀
33660	荼	tou4	t’	ou	陽平	同刀
38500	除	chyu4	ch’	ü	陽平	長於
24464	徐	cyu4	ts’	üy	陽平	前須
21465	叙	zyu6	ts	üy	陽去	在序
25933	敍	zyu6	ts	üy	陽去	在序
25944	敘	zyu6	ts	üy	陽去	在序
20312	佘	she4	s’	ěa	陽平	時耶
26012	斜	ze4	ts	ěa	陽平	在耶
20318	佞	ning6	n	ing	陽去	尼正
20355	侃	hon2	h	on	陰上	可罕
20358	來	loi4	l	oy	陽平	耒哀
33802	萊	loi4	l	oy	陽平	耒哀
36058	賚	loi6	l	oy	陽去	耒代
30558	睞	loi6	l	oy	陽去	耒代
20374	侖	leon4	l	un	陽平	耒倫
36650	輪	leon4	l	un	陽平	耒倫
28138	淪	leon4	l	un	陽平	耒倫
20523	倫	leon4	l	un	陽平	耒倫
32184	綸	leon4	l	un	陽平	耒倫
23833	崙	leon4	l	un	陽平	耒倫
